lambda,n_omega50,n_over_eta_omega50,n_omega100,n_over_eta_omega100,n_omega500,n_over_eta_omega500,n_omega1000,n_over_eta_omega1000
3.42481203,0.2287968387,0.0045759368,0.1154571242,0.0011545712,0.0233693921,0.0000467388,0.0117064567,0.0000117065
3.44962406,0.2321629264,0.0046432585,0.1171423370,0.0011714234,0.0237092910,0.0000474186,0.0118766996,0.0000118767
3.47443609,0.2355541827,0.0047110837,0.1188398850,0.0011883989,0.0240516469,0.0000481033,0.0120481734,0.0000120482
3.49924812,0.2389706187,0.0047794124,0.1205497613,0.0012054976,0.0243964594,0.0000487929,0.0122208743,0.0000122209
3.52406015,0.2424122418,0.0048482448,0.1222719674,0.0012227197,0.0247437240,0.0000494874,0.0123948063,0.0000123948
3.54887218,0.2458790628,0.0049175813,0.1240064997,0.0012400650,0.0250934474,0.0000501869,0.0125699678,0.0000125700
3.57368421,0.2493684090,0.0049873682,0.1257533688,0.0012575337,0.0254456259,0.0000508913,0.0127463562,0.0000127464
3.59849624,0.2528883306,0.0050577666,0.1275125767,0.0012751258,0.0258002597,0.0000516005,0.0129239749,0.0000129240
3.62330827,0.2564307932,0.0051286159,0.1292841206,0.0012928412,0.0261573475,0.0000523147,0.0131028235,0.0000131028
3.64812030,0.2599984886,0.0051999698,0.1310680123,0.0013106801,0.0265168917,0.0000530338,0.0132829003,0.0000132829
3.67293233,0.2635914200,0.0052718284,0.1328642568,0.0013286426,0.0268788919,0.0000537578,0.0134642069,0.0000134642
3.69774436,0.2672095986,0.0053441920,0.1346728317,0.0013467283,0.0272433476,0.0000544867,0.0136467421,0.0000136467
3.72255639,0.2708530320,0.0054170606,0.1364937739,0.0013649377,0.0276102586,0.0000552205,0.0138305086,0.0000138305
3.74736842,0.2745217249,0.0054904345,0.1383270598,0.0013832706,0.0279796260,0.0000559593,0.0140155019,0.0000140155
3.77218045,0.2782156873,0.0055643137,0.1401727081,0.0014017271,0.0283514507,0.0000567029,0.0142017245,0.0000142017
3.79699248,0.2819349240,0.0056386985,0.1420307068,0.0014203071,0.0287257262,0.0000574515,0.0143891776,0.0000143892
3.82180451,0.2856794449,0.0057135889,0.1439010710,0.0014390107,0.0291024631,0.0000582049,0.0145778600,0.0000145779
3.84661654,0.2894492576,0.0057889852,0.1457837898,0.0014578379,0.0294816518,0.0000589633,0.0147677710,0.0000147678
3.87142857,0.2932443601,0.0058648872,0.1476788859,0.0014767889,0.0298633005,0.0000597266,0.0149589091,0.0000149589
3.89624060,0.2970647623,0.0059412952,0.1495863406,0.0014958634,0.0302474032,0.0000604948,0.0151512802,0.0000151513
3.92105263,0.3009104698,0.0060182094,0.1515061694,0.0015150617,0.0306339601,0.0000612679,0.0153448785,0.0000153449
3.94586466,0.3047814922,0.0060956298,0.1534383731,0.0015343837,0.0310229777,0.0000620460,0.0155397072,0.0000155397
3.97067669,0.3086778326,0.0061735567,0.1553829335,0.0015538293,0.0314144475,0.0000628289,0.0157357620,0.0000157358
3.99548872,0.3125994860,0.0062519897,0.1573398952,0.0015733990,0.0318083745,0.0000636167,0.0159330495,0.0000159330
4.02030075,0.3165464708,0.0063309294,0.1593092306,0.0015930923,0.0322047600,0.0000644095,0.0161315650,0.0000161316
4.04511278,0.3205187901,0.0064103758,0.1612909494,0.0016129095,0.0326035960,0.0000652072,0.0163313098,0.0000163313
4.06992481,0.3245164536,0.0064903291,0.1632850363,0.0016328504,0.0330048940,0.0000660098,0.0165322846,0.0000165323
4.09473684,0.3285394526,0.0065707891,0.1652915251,0.0016529153,0.0334086445,0.0000668173,0.0167344879,0.0000167345
4.11954887,0.3325878044,0.0066517561,0.1673103915,0.0016731039,0.0338148523,0.0000676297,0.0169379201,0.0000169379
4.14436090,0.3366614892,0.0067332298,0.1693416623,0.0016934166,0.0342235172,0.0000684470,0.0171425820,0.0000171426
4.16917293,0.3407605349,0.0068152107,0.1713853280,0.0017138533,0.0346346362,0.0000692693,0.0173484745,0.0000173485
4.19398496,0.3448849395,0.0068976988,0.1734413803,0.0017344138,0.0350482169,0.0000700964,0.0175555960,0.0000175556
4.21879699,0.3490347030,0.0069806941,0.1755098286,0.0017550983,0.0354642508,0.0000709285,0.0177639452,0.0000177639
4.24360902,0.3532098119,0.0070641962,0.1775906800,0.0017759068,0.0358827411,0.0000717655,0.0179735237,0.0000179735
4.26842105,0.3574103170,0.0071482063,0.1796839538,0.0017968395,0.0363036888,0.0000726074,0.0181843328,0.0000181843
4.29323308,0.3616361784,0.0072327236,0.1817896019,0.0018178960,0.0367270927,0.0000734542,0.0183963714,0.0000183964
4.31804511,0.3658874070,0.0073177481,0.1839076660,0.0018390767,0.0371529536,0.0000743059,0.0186096389,0.0000186096
4.34285714,0.3701640079,0.0074032802,0.1860381507,0.0018603815,0.0375812702,0.0000751625,0.0188241342,0.0000188241
4.36766917,0.3744659899,0.0074893198,0.1881810322,0.0018818103,0.0380120439,0.0000760241,0.0190398612,0.0000190399
4.39248120,0.3787933403,0.0075758668,0.1903363248,0.0019033632,0.0384452753,0.0000768906,0.0192568168,0.0000192568
4.41729323,0.3831460726,0.0076629215,0.1925040598,0.0019250406,0.0388809588,0.0000777619,0.0194750006,0.0000194750
4.44210526,0.3875241836,0.0077504837,0.1946841809,0.0019468418,0.0393191073,0.0000786382,0.0196944155,0.0000196944
4.46691729,0.3919276754,0.0078385535,0.1968767331,0.0019687673,0.0397597085,0.0000795194,0.0199150589,0.0000199151
4.49172932,0.3963565455,0.0079271309,0.1990817013,0.0019908170,0.0402027678,0.0000804055,0.0201369317,0.0000201369
4.51654135,0.4008108022,0.0080162160,0.2012990983,0.0020129910,0.0406482871,0.0000812966,0.0203600331,0.0000203600
4.54135338,0.4052904409,0.0081058088,0.2035289223,0.0020352892,0.0410962571,0.0000821925,0.0205843646,0.0000205844
4.56616541,0.4097954697,0.0081959094,0.2057711726,0.0020577117,0.0415466872,0.0000830934,0.0208099262,0.0000208099
4.59097744,0.4143258655,0.0082865173,0.2080258491,0.0020802585,0.0419995712,0.0000839991,0.0210367154,0.0000210367
4.61578947,0.4188816574,0.0083776331,0.2102929642,0.0021029296,0.0424549158,0.0000849098,0.0212647366,0.0000212647
4.64060150,0.4234628228,0.0084692565,0.2125725046,0.0021257250,0.0429127181,0.0000858254,0.0214939859,0.0000214940
4.66541353,0.4280693744,0.0085613875,0.2148644828,0.0021486448,0.0433729752,0.0000867460,0.0217244637,0.0000217245
4.69022556,0.4327013060,0.0086540261,0.2171688978,0.0021716890,0.0438356911,0.0000876714,0.0219561725,0.0000219562
4.71503759,0.4373586198,0.0087471724,0.2194857531,0.0021948575,0.0443008633,0.0000886017,0.0221891087,0.0000221891
4.73984962,0.4420413180,0.0088408264,0.2218150448,0.0022181504,0.0447684958,0.0000895370,0.0224232762,0.0000224233
4.76466165,0.4467493897,0.0089349878,0.2241567808,0.0022415678,0.0452385833,0.0000904772,0.0226586726,0.0000226587
4.78947368,0.4514828389,0.0090296568,0.2265109609,0.0022651096,0.0457111281,0.0000914223,0.0228952994,0.0000228953
4.81428571,0.4562416624,0.0091248332,0.2288775247,0.0022887752,0.0461861315,0.0000923723,0.0231331544,0.0000231332
4.83909774,0.4610258611,0.0092205172,0.2312566604,0.0023125666,0.0466635917,0.0000933272,0.0233722396,0.0000233722
4.86390977,0.4658357762,0.0093167155,0.2337855662,0.0023378557,0.0471435102,0.0000942870,0.0236125521,0.0000236126
4.88872180,0.4706703686,0.0094134074,0.2360521540,0.0023605215,0.0476258861,0.0000952518,0.0238540961,0.0000238541
4.91353383,0.4755306759,0.0095106135,0.2384685789,0.0023846858,0.0481107203,0.0000962214,0.0240968699,0.0000240969
4.93834586,0.4804163432,0.0096083269,0.2408974578,0.0024089746,0.0485980102,0.0000971960,0.0243408736,0.0000243409
4.96315789,0.4853273801,0.0097065476,0.2433387927,0.0024333879,0.0490877617,0.0000981755,0.0245861048,0.0000245861
4.98796992,0.4902637664,0.0098052753,0.2457925841,0.0024579258,0.0495799669,0.0000991599,0.0248325659,0.0000248326
5.01278195,0.4952255127,0.0099045103,0.2482588344,0.0024825883,0.0500746317,0.0001001493,0.0250802562,0.0000250803
5.03759398,0.5002126106,0.0100042522,0.2507375448,0.0025073754,0.0505717518,0.0001011435,0.0253291776,0.0000253292
5.06240602,0.5052250524,0.0101045010,0.2532287169,0.0025322872,0.0510713375,0.0001021427,0.0255793272,0.0000255793
5.08721805,0.5102628512,0.0102052570,0.2557323520,0.0025573235,0.0515733744,0.0001031467,0.0258307080,0.0000258307
5.11203008,0.5153259864,0.0103065197,0.2582484521,0.0025824845,0.0520778708,0.0001041557,0.0260833154,0.0000260833
5.13684211,0.5204144554,0.0104082891,0.2607770173,0.0026077702,0.0525848252,0.0001051697,0.0263371544,0.0000263372
5.16165414,0.5255282649,0.0105105653,0.2633180508,0.0026331805,0.0530942372,0.0001061885,0.0265922228,0.0000265922
5.18646617,0.5306674003,0.0106133480,0.2658715521,0.0026587155,0.0536061076,0.0001072122,0.0268485210,0.0000268485
5.21127820,0.5358318617,0.0107166372,0.2684375810,0.0026843758,0.0541204397,0.0001082409,0.0271060490,0.0000271060
5.23609023,0.5410216418,0.0108204328,0.2710159132,0.0027101591,0.0546372291,0.0001092745,0.0273648035,0.0000273648
5.26090226,0.5462367399,0.0109247348,0.2736068817,0.0027360688,0.0551564741,0.0001103129,0.0276247928,0.0000276248
